=== Page 1 (Unit 1) ALL Spans ===
Page size: 595.2 x 841.8
Total blocks: 36

Idx      B   L   S |      x0      y0      x1      y1 | font                       size | text
----------------------------------------------------------------------------------------------------------------------------------------------------------------
0        0   0   0 |   131.6    27.0   488.3    50.4 | MicrosoftYaHei-Bold        17.7 |  考研英语无忧班学员专用高频词汇练习Unit1
1        1   0   0 |   240.6    65.6   378.3    83.8 | MicrosoftYaHei-Bold        13.8 | 成都新东方国内考试部
2        2   0   0 |    68.9    88.4   569.1   103.6 | MicrosoftYaHei             11.8 |  学生姓名：                        日期：                                              总词数：           错误数：     
3        3   0   0 |    57.3   106.9    76.4   122.1 | MicrosoftYaHei             11.8 | NO
4        3   0   1 |    76.4   106.9    83.0   122.1 | MicrosoftYaHei             11.8 |  
5        3   0   2 |    83.0   106.9   106.5   122.1 | MicrosoftYaHei             11.8 | 单词
6        3   1   0 |   147.5   106.9   171.1   122.1 | MicrosoftYaHei             11.8 | 释义
7        3   2   0 |   211.6   106.9   230.7   122.1 | MicrosoftYaHei             11.8 | NO
8        3   2   1 |   230.7   106.9   237.3   122.1 | MicrosoftYaHei             11.8 |  
9        3   2   2 |   237.3   106.9   260.8   122.1 | MicrosoftYaHei             11.8 | 单词
10       3   3   0 |   320.1   106.9   343.6   122.1 | MicrosoftYaHei             11.8 | 释义
11       3   4   0 |   403.7   106.9   449.1   122.1 | MicrosoftYaHei             11.8 | NO 单词
12       3   5   0 |   498.6   106.9   522.2   122.1 | MicrosoftYaHei             11.8 | 释义
13       4   0   0 |    59.9   126.2    73.8   141.4 | MicrosoftYaHei             11.8 | 01
14       4   0   1 |    73.8   129.0    83.0   140.8 | Cambria                    11.8 |  
15       4   0   2 |    83.0   129.0   114.4   140.8 | Cambria                    11.8 | would
16       4   1   0 |   147.5   129.0   159.3   140.8 | SimSun                     11.8 | 会
17       4   2   0 |   214.8   129.0   227.7   140.8 | Cambria                    11.8 | 26
18       4   3   0 |   237.3   129.0   270.2   140.8 | Cambria                    11.8 | means
19       4   4   0 |   320.1   129.0   379.3   140.8 | SimSun                     11.8 | 方式；方法
20       4   5   0 |   406.9   137.9   419.8   149.6 | Cambria                    11.8 | 52
21       4   5   1 |   419.8   137.9   425.6   149.6 | Cambria                    11.8 |  
22       4   5   2 |   425.6   137.9   451.7   149.6 | Cambria                    11.8 | learn
23       4   6   0 |   498.6   129.0   507.9   140.8 | Cambria                    11.8 | 1 
24       4   6   1 |   507.9   128.3   531.4   140.1 | SimSun                     11.8 | 学习
25       5   0   0 |    59.9   144.0    73.8   159.2 | MicrosoftYaHei             11.8 | 02
26       5   0   1 |    73.8   146.6    83.0   158.5 | Cambria                    11.8 |  
27       5   0   2 |    83.0   146.6   112.8   158.4 | Cambria                    11.8 | world
28       5   1   0 |   147.5   146.7   171.1   158.4 | SimSun                     11.8 | 世界
29       5   2   0 |   214.8   146.6   227.7   158.4 | Cambria                    11.8 | 27
30       5   3   0 |   237.3   146.6   261.9   158.4 | Cambria                    11.8 | need
31       5   4   0 |   320.1   146.7   343.6   158.4 | SimSun                     11.8 | 需要
32       5   5   0 |   498.6   146.6   507.9   158.4 | Cambria                    11.8 | 2 
33       5   5   1 |   507.9   145.9   531.4   157.7 | SimSun                     11.8 | 了解
34       6   0   0 |    59.9   177.0    73.8   192.1 | MicrosoftYaHei             11.8 | 03
35       6   0   1 |    73.8   179.6    83.0   191.5 | Cambria                    11.8 |  
36       6   0   2 |    83.0   179.6    89.8   191.4 | Cambria                    11.8 | if
37       7   0   0 |   147.5   164.4   156.7   176.2 | Cambria                    11.8 | 1 
38       7   0   1 |   156.8   163.7   180.3   175.5 | SimSun                     11.8 | 如果
39       7   1   0 |   214.8   164.4   227.7   176.2 | Cambria                    11.8 | 28
40       7   2   0 |   237.3   164.4   263.7   176.2 | Cambria                    11.8 | seem
41       7   3   0 |   320.1   164.5   343.6   176.3 | SimSun                     11.8 | 似乎
42       7   4   0 |   406.9   164.4   419.8   176.2 | Cambria                    11.8 | 53
43       7   4   1 |   419.8   164.4   425.6   176.2 | Cambria                    11.8 |  
44       7   4   2 |   425.6   164.4   470.7   176.2 | Cambria                    11.8 | scientific
45       7   5   0 |   498.6   164.5   533.9   176.3 | SimSun                     11.8 | 科学的
46       8   0   0 |   147.5   188.5   156.7   200.3 | Cambria                    11.8 | 2 
47       8   0   1 |   156.8   187.8   180.3   199.6 | SimSun                     11.8 | 是否
48       8   1   0 |   214.8   188.5   227.7   200.3 | Cambria                    11.8 | 29
49       8   2   0 |   237.3   188.5   295.9   200.3 | Cambria                    11.8 | over/under
50       8   3   0 |   320.1   180.6   385.3   192.4 | SimSun                     11.8 | 在...之上／
51       8   4   0 |   320.1   195.0   391.3   206.8 | SimSun                     11.8 | 之下；过了；
52       8   5   0 |   406.9   188.5   419.8   200.3 | Cambria                    11.8 | 54
53       8   5   1 |   419.8   188.5   425.6   200.3 | Cambria                    11.8 |  
54       8   5   2 |   425.6   188.5   444.4   200.3 | Cambria                    11.8 | test
55       8   6   0 |   498.6   188.5   522.2   200.3 | SimSun                     11.8 | 测试
56       9   0   0 |    59.9   209.9    73.8   225.1 | MicrosoftYaHei             11.8 | 04
57       9   0   1 |    73.8   212.5    83.0   224.4 | Cambria                    11.8 |  
58       9   0   2 |    83.0   212.5   118.0   224.3 | Cambria                    11.8 | human
59       9   1   0 |   147.5   212.6   171.1   224.4 | SimSun                     11.8 | 人类
60       9   2   0 |   214.8   212.5   227.7   224.3 | Cambria                    11.8 | 30
61       9   3   0 |   237.3   212.5   280.7   224.3 | Cambria                    11.8 | between
62       9   4   0 |   320.1   212.6   367.1   224.4 | SimSun                     11.8 | 两者之间
63       9   5   0 |   406.9   212.5   419.8   224.3 | Cambria                    11.8 | 55
64       9   5   1 |   419.8   212.5   425.6   224.3 | Cambria                    11.8 |  
65       9   5   2 |   425.6   212.5   468.0   224.3 | Cambria                    11.8 | example
66       9   6   0 |   498.6   212.6   522.2   224.4 | SimSun                     11.8 | 例子
67       9   7   0 |    59.9   227.6    73.8   242.8 | MicrosoftYaHei             11.8 | 05
68       9   7   1 |    73.8   230.3    83.0   242.1 | Cambria                    11.8 |  
69       9   7   2 |    83.0   230.3   135.3   242.0 | Cambria                    11.8 | paragraph
70       9   8   0 |   147.5   230.4   171.1   242.2 | SimSun                     11.8 | 段落
71      10   0   0 |   214.8   248.2   227.7   259.9 | Cambria                    11.8 | 31
72      10   1   0 |   237.3   248.2   281.0   259.9 | Cambria                    11.8 | business
73      11   0   0 |   320.1   230.3   329.2   242.0 | Cambria                    11.8 | 1 
74      11   0   1 |   329.2   229.6   352.7   241.3 | SimSun                     11.8 | 商业
75      11   1   0 |   406.9   230.3   419.8   242.0 | Cambria                    11.8 | 56
76      11   1   1 |   419.8   230.3   425.6   242.0 | Cambria                    11.8 |  
77      11   1   2 |   425.6   230.3   450.9   242.0 | Cambria                    11.8 | large
78      11   2   0 |   498.6   230.4   510.4   242.2 | SimSun                     11.8 | 大
79      11   3   0 |    59.9   245.4    73.8   260.6 | MicrosoftYaHei             11.8 | 06
80      11   3   1 |    73.8   248.2    83.0   259.9 | Cambria                    11.8 |  
81      11   3   2 |    83.0   248.2   106.2   259.9 | Cambria                    11.8 | such
82      11   4   0 |   147.5   248.2   182.8   259.9 | SimSun                     11.8 | 如此的
83      11   5   0 |   320.1   248.2   329.2   259.9 | Cambria                    11.8 | 2 
84      11   5   1 |   329.2   247.4   352.7   259.2 | SimSun                     11.8 | 商家
85      11   6   0 |   406.9   248.2   419.8   259.9 | Cambria                    11.8 | 57
86      11   6   1 |   419.8   248.2   425.6   259.9 | Cambria                    11.8 |  
87      11   6   2 |   425.6   248.2   443.6   259.9 | Cambria                    11.8 | law
88      11   7   0 |   498.6   248.2   557.8   259.9 | SimSun                     11.8 | 法律；规则
89      11   8   0 |    59.9   263.1    73.8   278.3 | MicrosoftYaHei             11.8 | 07
90      11   8   1 |    73.8   265.9    83.0   277.7 | Cambria                    11.8 |  
91      11   8   2 |    83.0   265.9   116.9   277.7 | Cambria                    11.8 | should
92      11   9   0 |   147.5   266.0   171.1   277.7 | SimSun                     11.8 | 应该
93      11  10   0 |   320.1   265.9   329.2   277.7 | Cambria                    11.8 | 3 
94      11  10   1 |   329.2   265.2   341.0   277.0 | SimSun                     11.8 | 事
95      11  11   0 |   406.9   274.8   419.8   286.5 | Cambria                    11.8 | 58
96      11  11   1 |   419.8   274.8   425.6   286.5 | Cambria                    11.8 |  
97      11  11   2 |   425.6   274.8   450.7   286.5 | Cambria                    11.8 | pass 
98      11  12   0 |   498.6   265.9   507.9   277.7 | Cambria                    11.8 | 1 
